0.00,-1.57,0.52,-1.57,-1.57,0.00,0.00
0.00,-1.57,0.52,-1.57,-1.57,0.00,0.00
0.00,-1.57,0.47,-1.57,-1.57,0.00,0.00
0.00,-1.57,0.42,-1.57,-1.57,0.00,0.00
0.00,-1.57,0.38,-1.57,-1.57,0.00,0.00
0.00,-1.57,0.34,-1.57,-1.57,0.00,0.00
0.00,-1.57,0.31,-1.57,-1.57,0.00,0.00
0.00,-1.57,0.28,-1.57,-1.57,0.00,0.00
0.00,-1.57,0.25,-1.57,-1.57,0.00,0.00
0.00,-1.57,0.23,-1.57,-1.57,0.00,0.00
0.00,-1.57,0.21,-1.58,-1.57,0.00,0.00
0.00,-1.57,0.19,-1.58,-1.57,0.00,0.00
0.00,-1.57,0.18,-1.58,-1.57,0.00,0.00
0.00,-1.58,0.16,-1.58,-1.57,0.00,0.00
0.00,-1.58,0.15,-1.58,-1.58,0.00,0.00
0.00,-1.58,0.15,-1.59,-1.58,0.00,0.00
0.00,-1.58,0.14,-1.59,-1.58,0.01,0.00
0.00,-1.59,0.14,-1.60,-1.58,0.01,0.00
0.00,-1.59,0.14,-1.61,-1.58,0.01,0.00
0.01,-1.59,0.14,-1.61,-1.58,0.01,0.00
0.01,-1.60,0.15,-1.62,-1.59,0.01,0.00
0.01,-1.60,0.15,-1.63,-1.59,0.01,0.00
0.01,-1.60,0.16,-1.64,-1.60,0.01,0.00
0.02,-1.61,0.17,-1.65,-1.60,0.02,0.00
0.02,-1.61,0.18,-1.66,-1.61,0.02,0.00
0.02,-1.62,0.18,-1.67,-1.61,0.02,0.00
0.03,-1.62,0.19,-1.68,-1.62,0.02,0.00
0.03,-1.62,0.20,-1.69,-1.63,0.03,0.00
0.04,-1.63,0.21,-1.70,-1.63,0.03,0.00
0.04,-1.63,0.22,-1.71,-1.64,0.03,0.00
0.05,-1.63,0.23,-1.72,-1.65,0.03,0.00
0.05,-1.63,0.24,-1.73,-1.66,0.04,0.00
0.05,-1.64,0.25,-1.74,-1.66,0.04,0.00
0.06,-1.64,0.27,-1.75,-1.67,0.04,0.00
0.06,-1.64,0.28,-1.76,-1.68,0.05,0.00
0.06,-1.64,0.29,-1.77,-1.68,0.05,0.00
0.07,-1.64,0.30,-1.78,-1.69,0.05,0.00
0.07,-1.65,0.31,-1.79,-1.69,0.06,0.00
0.07,-1.65,0.32,-1.80,-1.70,0.06,0.00
0.07,-1.65,0.33,-1.81,-1.71,0.07,0.00
0.07,-1.65,0.34,-1.82,-1.71,0.07,0.00
0.07,-1.65,0.35,-1.83,-1.72,0.08,0.00
0.07,-1.65,0.36,-1.84,-1.72,0.08,0.00
0.07,-1.65,0.37,-1.85,-1.73,0.09,0.00
0.07,-1.65,0.38,-1.86,-1.73,0.09,0.00
0.07,-1.66,0.39,-1.87,-1.74,0.10,0.00
0.07,-1.66,0.40,-1.88,-1.75,0.10,0.00
0.07,-1.66,0.41,-1.89,-1.75,0.11,0.00
0.07,-1.66,0.42,-1.90,-1.76,0.12,0.00
0.07,-1.66,0.43,-1.91,-1.76,0.12,0.00
0.07,-1.66,0.44,-1.92,-1.77,0.13,0.00
0.07,-1.66,0.45,-1.93,-1.77,0.14,0.00
0.07,-1.66,0.46,-1.94,-1.78,0.14,0.00
0.06,-1.66,0.47,-1.95,-1.78,0.15,0.00
0.06,-1.65,0.48,-1.95,-1.79,0.16,0.00
0.06,-1.65,0.49,-1.96,-1.80,0.17,0.00
0.06,-1.65,0.50,-1.97,-1.80,0.18,0.00
0.06,-1.65,0.51,-1.98,-1.81,0.18,0.00
0.05,-1.65,0.52,-1.99,-1.81,0.19,0.00
0.05,-1.65,0.53,-2.00,-1.82,0.20,0.00
0.05,-1.64,0.54,-2.01,-1.83,0.21,0.00
0.05,-1.64,0.54,-2.02,-1.83,0.22,0.00
0.04,-1.64,0.55,-2.03,-1.84,0.23,0.00
0.04,-1.64,0.56,-2.04,-1.84,0.24,0.00
0.04,-1.63,0.57,-2.04,-1.85,0.25,0.00
0.04,-1.63,0.58,-2.05,-1.86,0.26,0.00
0.03,-1.63,0.58,-2.06,-1.86,0.27,0.00
0.03,-1.62,0.59,-2.07,-1.87,0.28,0.00
0.03,-1.62,0.60,-2.08,-1.88,0.29,0.00
0.02,-1.62,0.60,-2.08,-1.88,0.30,0.00
0.02,-1.61,0.61,-2.09,-1.89,0.32,0.00
0.01,-1.61,0.62,-2.10,-1.90,0.33,0.00
0.01,-1.60,0.62,-2.10,-1.90,0.34,0.00
0.01,-1.60,0.63,-2.11,-1.91,0.35,0.00
0.00,-1.59,0.63,-2.12,-1.92,0.37,0.00
-0.00,-1.59,0.64,-2.12,-1.92,0.38,0.00
-0.00,-1.58,0.65,-2.13,-1.93,0.39,0.00
